Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band,Number of Countries Spoken,GDP Average (Current US $)
Juhur (Caucasus),"Azerbaijan, Russian Federation",AZE,Definitely endangered,3016.0,42.0044,48.2409,3.225946296296296,78.0,45.85,Very Low Proficiency,2,25428466510.314842
Budukh,Azerbaijan,AZE,Severely endangered,3000.0,41.1207,48.3233,3.225946296296296,78.0,45.85,Very Low Proficiency,1,25428466510.314842
Khinalug,Azerbaijan,AZE,Severely endangered,2500.0,41.1579,48.0706,3.225946296296296,78.0,45.85,Very Low Proficiency,1,25428466510.314842
Kilit,Azerbaijan,AZE,Extinct,0.0,38.9455,46.0989,3.225946296296296,78.0,45.85,Very Low Proficiency,1,25428466510.314842
Tat,Azerbaijan,AZE,Severely endangered,,41.3438,48.6254,3.225946296296296,78.0,45.85,Very Low Proficiency,1,25428466510.314842
K'iche' (Guatemala),Guatemala,GTM,Vulnerable,890596.0,15.0309,-91.1485,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Q'eqchi' (Guatemala),Guatemala,GTM,Vulnerable,716101.0,15.4707,-90.3722,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Mam (Guatemala),Guatemala,GTM,Vulnerable,477717.0,14.9305,-91.9078,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Kaqchikel (Guatemala),Guatemala,GTM,Vulnerable,444954.0,14.7814,-90.7925,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Q'aanjob'al,Guatemala,GTM,Vulnerable,139830.0,15.6019,-91.4441,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Poqomchi',Guatemala,GTM,Vulnerable,92941.0,15.3757,-90.4288,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Ixil (Guatemala),Guatemala,GTM,Vulnerable,83574.0,15.4849,-91.0358,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Achi',Guatemala,GTM,Vulnerable,82640.0,15.0845,-90.4888,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Tz'utujil,Guatemala,GTM,Definitely endangered,63237.0,14.6394,-91.2301,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Chuj (Guatemala),Guatemala,GTM,Vulnerable,59048.0,15.8259,-91.4783,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Akatek (Guatemala),Guatemala,GTM,Vulnerable,35763.0,15.5724,-91.4218,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Jakaltek (Guatemala),Guatemala,GTM,Definitely endangered,34038.0,15.6685,-91.7111,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Ch'orti' (Guatemala),Guatemala,GTM,Definitely endangered,11734.0,14.968,-89.2905,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Poqomam,Guatemala,GTM,Definitely endangered,11273.0,14.6455,-89.7274,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Awakatek (Guatemala),Guatemala,GTM,Vulnerable,9613.0,15.3429,-91.312,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Sakapultek,Guatemala,GTM,Definitely endangered,6973.0,14.9752,-91.0527,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Sipakapense,Guatemala,GTM,Definitely endangered,5687.0,15.2121,-91.6335,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Uspantek,Guatemala,GTM,Vulnerable,3971.0,15.3475,-90.8684,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Garífuna (Guatemala),Guatemala,GTM,Vulnerable,3564.0,15.8268,-88.7506,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Mopán (Guatemala),Guatemala,GTM,Severely endangered,2455.0,16.5144,-89.4167,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Xinka,Guatemala,GTM,Critically endangered,1283.0,14.3447,-90.2603,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Tektitek,Guatemala,GTM,Definitely endangered,1144.0,15.3073,-92.0609,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Itzá,Guatemala,GTM,Critically endangered,1094.0,16.9838,-89.899,5.513574074074072,56.0,50.63,Low Proficiency,1,17350441105.615196
Newar,Nepal,NPL,Definitely endangered,825458.0,27.6981,85.3198,4.914018518518519,,,,1,5750879514.549185
Magar,Nepal,NPL,Definitely endangered,489383.0,28.0816,83.4301,4.914018518518519,,,,1,5750879514.549185
Bantawa,Nepal,NPL,Vulnerable,371056.0,27.0994,87.0048,4.914018518518519,,,,1,5750879514.549185
Gurung,Nepal,NPL,Definitely endangered,338925.0,28.275,84.1782,4.914018518518519,,,,1,5750879514.549185
Chamling,Nepal,NPL,Definitely endangered,44093.0,27.0499,86.7329,4.914018518518519,,,,1,5750879514.549185
Satār,Nepal,NPL,Vulnerable,40260.0,26.5541,87.91799999999998,4.914018518518519,,,,1,5750879514.549185
Chepang,Nepal,NPL,Vulnerable,36807.0,27.7552,84.8144,4.914018518518519,,,,1,5750879514.549185
Thangmi,Nepal,NPL,Definitely endangered,33500.0,27.6969,86.0057,4.914018518518519,,,,1,5750879514.549185
Danuwar,Nepal,NPL,Severely endangered,31849.0,26.9661,86.3223,4.914018518518519,,,,1,5750879514.549185
Kham,Nepal,NPL,Definitely endangered,30000.0,28.4321,82.9635,4.914018518518519,,,,1,5750879514.549185
Ghale,Nepal,NPL,Vulnerable,28989.0,28.2501,84.71799999999998,4.914018518518519,,,,1,5750879514.549185
Kurux (Nepal),Nepal,NPL,Vulnerable,28615.0,26.6032,87.2259,4.914018518518519,,,,1,5750879514.549185
Sunwar,Nepal,NPL,Vulnerable,26611.0,27.3485,86.2337,4.914018518518519,,,,1,5750879514.549185
Majhi,Nepal,NPL,Severely endangered,24664.0,27.9208,83.5082,4.914018518518519,,,,1,5750879514.549185
Dhimal,Nepal,NPL,Severely endangered,20000.0,26.6192,87.4635,4.914018518518519,,,,1,5750879514.549185
Kulung,Nepal,NPL,Vulnerable,18686.0,27.518,86.9375,4.914018518518519,,,,1,5750879514.549185
Ha-lung Tibetan,Nepal,NPL,Definitely endangered,15000.0,27.6831,87.8256,4.914018518518519,,,,1,5750879514.549185
Yakkha,Nepal,NPL,Critically endangered,14648.0,27.1908,87.3358,4.914018518518519,,,,1,5750879514.549185
Thulung,Nepal,NPL,Definitely endangered,14034.0,27.4534,86.6423,4.914018518518519,,,,1,5750879514.549185
Sampang,Nepal,NPL,Vulnerable,10810.0,27.257,86.9444,4.914018518518519,,,,1,5750879514.549185
Darai,Nepal,NPL,Severely endangered,10210.0,27.9264,84.331,4.914018518518519,,,,1,5750879514.549185
Khaling,Nepal,NPL,Definitely endangered,9288.0,27.5781,86.7163,4.914018518518519,,,,1,5750879514.549185
Dol-po,Nepal,NPL,Definitely endangered,9000.0,29.2193,83.0676,4.914018518518519,,,,1,5750879514.549185
Kumāle,Nepal,NPL,Severely endangered,6533.0,27.788,84.54799999999999,4.914018518518519,,,,1,5750879514.549185
Thakali,Nepal,NPL,Vulnerable,6441.0,28.7146,83.6478,4.914018518518519,,,,1,5750879514.549185
Chantyal,Nepal,NPL,Definitely endangered,5912.0,28.4493,83.4054,4.914018518518519,,,,1,5750879514.549185
Jirel,Nepal,NPL,Definitely endangered,4919.0,27.6419,86.2123,4.914018518518519,,,,1,5750879514.549185
Tsum,Nepal,NPL,Definitely endangered,4786.0,28.4723,85.008,4.914018518518519,,,,1,5750879514.549185
Dungmali,Nepal,NPL,Definitely endangered,4609.0,27.1874,87.1902,4.914018518518519,,,,1,5750879514.549185
Wambule,Nepal,NPL,Vulnerable,4471.0,27.1746,86.4363,4.914018518518519,,,,1,5750879514.549185
Puma,Nepal,NPL,Severely endangered,4310.0,26.9692,86.9004,4.914018518518519,,,,1,5750879514.549185
Nupri,Nepal,NPL,Definitely endangered,3776.0,28.6384,84.6079,4.914018518518519,,,,1,5750879514.549185
Nachiring,Nepal,NPL,Severely endangered,3553.0,27.4144,86.7521,4.914018518518519,,,,1,5750879514.549185
Limirong Tibetan,Nepal,NPL,Definitely endangered,3000.0,29.9164,81.7617,4.914018518518519,,,,1,5750879514.549185
Bahing,Nepal,NPL,Definitely endangered,2765.0,27.3126,86.5571,4.914018518518519,,,,1,5750879514.549185
Kohi,Nepal,NPL,Vulnerable,2641.0,27.3607,86.8661,4.914018518518519,,,,1,5750879514.549185
Raji,Nepal,NPL,Severely endangered,2413.0,27.9721,82.3135,4.914018518518519,,,,1,5750879514.549185
Athpahariya,Nepal,NPL,Definitely endangered,2000.0,26.952,87.3399,4.914018518518519,,,,1,5750879514.549185
Jero,Nepal,NPL,Vulnerable,2000.0,27.2241,86.3909,4.914018518518519,,,,1,5750879514.549185
Nyishangba,Nepal,NPL,Definitely endangered,2000.0,28.6423,84.1017,4.914018518518519,,,,1,5750879514.549185
Yamphu,Nepal,NPL,Definitely endangered,1722.0,27.5935,87.3316,4.914018518518519,,,,1,5750879514.549185
Chintang,Nepal,NPL,Severely endangered,1500.0,26.9367,87.1991,4.914018518518519,,,,1,5750879514.549185
Chɨlɨng,Nepal,NPL,Definitely endangered,1314.0,26.9483,87.2527,4.914018518518519,,,,1,5750879514.549185
Kāgate,Nepal,NPL,Definitely endangered,1273.0,27.5449,86.2925,4.914018518518519,,,,1,5750879514.549185
Lohorung,Nepal,NPL,Severely endangered,1207.0,27.4266,87.2498,4.914018518518519,,,,1,5750879514.549185
Mewahang,Nepal,NPL,Severely endangered,904.0,27.5441,87.1401,4.914018518518519,,,,1,5750879514.549185
Kaike,Nepal,NPL,Definitely endangered,794.0,28.9642,82.9819,4.914018518518519,,,,1,5750879514.549185
Narpa,Nepal,NPL,Definitely endangered,533.0,28.7315,84.26100000000002,4.914018518518519,,,,1,5750879514.549185
Raute,Nepal,NPL,Severely endangered,518.0,28.9744,80.7969,4.914018518518519,,,,1,5750879514.549185
Seke,Nepal,NPL,Vulnerable,500.0,28.9282,83.8249,4.914018518518519,,,,1,5750879514.549185
Barām,Nepal,NPL,Critically endangered,342.0,28.041,84.62899999999998,4.914018518518519,,,,1,5750879514.549185
Tilung,Nepal,NPL,Definitely endangered,310.0,27.1501,86.5077,4.914018518518519,,,,1,5750879514.549185
Hayu,Nepal,NPL,Critically endangered,200.0,27.2912,86.0696,4.914018518518519,,,,1,5750879514.549185
Kusunda,Nepal,NPL,Critically endangered,87.0,27.9275,84.2866,4.914018518518519,,,,1,5750879514.549185
Surel,Nepal,NPL,Critically endangered,25.0,27.6969,86.3058,4.914018518518519,,,,1,5750879514.549185
Sām,Nepal,NPL,Severely endangered,23.0,27.3595,86.9979,4.914018518518519,,,,1,5750879514.549185
Dumi,Nepal,NPL,Critically endangered,8.0,27.3095,86.7521,4.914018518518519,,,,1,5750879514.549185
Dura,Nepal,NPL,Extinct,0.0,28.2898,84.4519,4.914018518518519,,,,1,5750879514.549185
Gyasumdo,Nepal,NPL,Definitely endangered,0.0,28.5969,84.2253,4.914018518518519,,,,1,5750879514.549185
Khaccaḍ Bhoṭe,Nepal,NPL,Definitely endangered,0.0,28.1113,85.3674,4.914018518518519,,,,1,5750879514.549185
Langthang Tibetan,Nepal,NPL,Definitely endangered,0.0,28.21,85.5697,4.914018518518519,,,,1,5750879514.549185
Loke Tibetan,Nepal,NPL,Definitely endangered,0.0,28.82,83.7721,4.914018518518519,,,,1,5750879514.549185
Mon,"Myanmar, Thailand",MMR,Vulnerable,800000.0,16.4666,97.7833,4.048037037037037,83.0,44.23,Very Low Proficiency,2,35767772468.220116
Mru,Myanmar,MMR,Severely endangered,40000.0,21.7748,92.2741,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
"Mok (Myanmar, Thailand)","Myanmar, Thailand",MMR,Definitely endangered,30000.0,21.7333,99.7666,4.048037037037037,83.0,44.23,Very Low Proficiency,2,35767772468.220116
Yaw,Myanmar,MMR,Definitely endangered,20000.0,21.6,94.8333,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Moklen,"Myanmar, Thailand",MMR,Definitely endangered,6000.0,8.1953,98.3036,4.048037037037037,83.0,44.23,Very Low Proficiency,2,35767772468.220116
Anung (Myanmar),Myanmar,MMR,Severely endangered,3500.0,27.2,98.6333,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Sak (Myanmar),Myanmar,MMR,Vulnerable,3500.0,21.2333,93.0761,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Bisu,"Myanmar, Thailand",MMR,Definitely endangered,2740.0,19.715,99.6789,4.048037037037037,83.0,44.23,Very Low Proficiency,2,35767772468.220116
Laomian (Myanmar),Myanmar,MMR,Definitely endangered,2500.0,22.6833,99.25,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Danaw,Myanmar,MMR,Critically endangered,1000.0,21.192,97.3937,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Kadu,Myanmar,MMR,Severely endangered,1000.0,24.2042,95.6332,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Ganan,Myanmar,MMR,Severely endangered,500.0,24.2317,95.3778,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Chawte,Myanmar,MMR,Definitely endangered,200.0,24.1918,94.2736,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Hpun,Myanmar,MMR,Extinct,0.0,24.65,97.0666,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Malin,Myanmar,MMR,Extinct,0.0,24.57,94.56,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Pyu,Myanmar,MMR,Extinct,0.0,18.9424,94.8751,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Taman,Myanmar,MMR,Extinct,0.0,25.1651,95.2514,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Angku,Myanmar,MMR,Critically endangered,,21.4888,100.8325,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
En,Myanmar,MMR,Critically endangered,,21.2872,99.4816,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Palaung,Myanmar,MMR,Severely endangered,,23.1058,97.488,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Pale,Myanmar,MMR,Severely endangered,,22.1511,97.8386,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Riang,Myanmar,MMR,Critically endangered,,21.9048,98.2342,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Rumai,Myanmar,MMR,Severely endangered,,23.7363,97.9927,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Tailoi,Myanmar,MMR,Critically endangered,,21.4275,100.7473,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Wa,Myanmar,MMR,Severely endangered,,21.8705,99.6519,4.048037037037037,83.0,44.23,Very Low Proficiency,1,35767772468.220116
Tamaceq,Mali,MLI,Definitely endangered,800000.0,16.7992,-3.0102,6.91698148148148,,,,1,4339639097.68031
Banka,Mali,MLI,Definitely endangered,2500.0,11.4261,-5.6744,6.91698148148148,,,,1,4339639097.68031
Kokborok,"Bangladesh, India",BGD,Vulnerable,695000.0,23.7752,91.6918,4.934185185185187,64.0,48.72,Low Proficiency,2,49207994065.84397
Bishnupriya Manipuri Creole,"Bangladesh, India",BGD,Vulnerable,72899.0,24.297,92.4499,4.934185185185187,64.0,48.72,Low Proficiency,2,49207994065.84397
Kurux (Bangladesh),Bangladesh,BGD,Vulnerable,65000.0,25.8196,88.9672,4.934185185185187,64.0,48.72,Low Proficiency,1,49207994065.84397
Bawm,"Bangladesh, India",BGD,Definitely endangered,14000.0,22.1874,92.6477,4.934185185185187,64.0,48.72,Low Proficiency,2,49207994065.84397
Sak (Bangladesh),Bangladesh,BGD,Severely endangered,5500.0,21.5041,92.2055,4.934185185185187,64.0,48.72,Low Proficiency,1,49207994065.84397
Basque,"Spain, France",ESP,Vulnerable,660000.0,43.133,-2.0764,1.934814814814815,33.0,55.85,Moderate Proficiency,2,540861528276.7373
Gascon,"Spain, France",ESP,Definitely endangered,250000.0,43.1811,-0.1428,1.934814814814815,33.0,55.85,Moderate Proficiency,2,540861528276.7373
Asturian-Leonese,"Spain, Portugal",ESP,Definitely endangered,150000.0,42.7954,-5.6689,1.934814814814815,33.0,55.85,Moderate Proficiency,2,540861528276.7373
Aragonese,Spain,ESP,Definitely endangered,10000.0,42.2935,-0.4394,1.934814814814815,33.0,55.85,Moderate Proficiency,1,540861528276.7373
Guanche,Spain,ESP,Extinct,0.0,27.9264,-15.6774,1.934814814814815,33.0,55.85,Moderate Proficiency,1,540861528276.7373
Mozarabic,Spain,ESP,Extinct,0.0,37.4574,-3.988,1.934814814814815,33.0,55.85,Moderate Proficiency,1,540861528276.7373
Ossete,"Georgia, Russian Federation",GEO,Vulnerable,550000.0,42.9564,44.4946,2.203555555555555,46.0,52.28,Low Proficiency,2,7979692665.549927
Mingrelian,Georgia,GEO,Definitely endangered,350000.0,42.4599,41.7205,2.203555555555555,46.0,52.28,Low Proficiency,1,7979692665.549927
Laz,"Georgia, Turkey",GEO,Definitely endangered,130000.0,41.2736,41.2646,2.203555555555555,46.0,52.28,Low Proficiency,2,7979692665.549927
Abkhaz,"Georgia, Russian Federation, Turkey",GEO,Vulnerable,125000.0,43.133,40.8471,2.203555555555555,46.0,52.28,Low Proficiency,3,7979692665.549927
Svan,Georgia,GEO,Definitely endangered,80000.0,43.0207,42.3193,2.203555555555555,46.0,52.28,Low Proficiency,1,7979692665.549927
Bohtan Neo-Aramaic,"Georgia, Russian Federation",GEO,Severely endangered,1000.0,41.5579,45.0219,2.203555555555555,46.0,52.28,Low Proficiency,2,7979692665.549927
Bats,Georgia,GEO,Severely endangered,500.0,42.0982,45.0878,2.203555555555555,46.0,52.28,Low Proficiency,1,7979692665.549927
Homshetsma (Caucasus),"Georgia, Russian Federation",GEO,Severely endangered,,43.2452,40.3582,2.203555555555555,46.0,52.28,Low Proficiency,2,7979692665.549927
Udi (Georgia),Georgia,GEO,Severely endangered,,41.8905,45.913,2.203555555555555,46.0,52.28,Low Proficiency,1,7979692665.549927
Urum,"Georgia, Russian Federation, Ukraine",GEO,Definitely endangered,,47.0102,36.7822,2.203555555555555,46.0,52.28,Low Proficiency,3,7979692665.549927
Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan",IRN,Vulnerable,500000.0,29.0369,66.5826,4.695981481481481,67.0,48.29,Very Low Proficiency,3,160173085987.71393
Khorasani Turk,Iran (Islamic Republic of),IRN,Vulnerable,200000.0,36.6596,57.854,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Lari,Iran (Islamic Republic of),IRN,Definitely endangered,80000.0,27.8585,54.8547,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Khalaj,Iran (Islamic Republic of),IRN,Vulnerable,42100.0,34.3751,50.3063,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Dzhidi,Iran (Islamic Republic of),IRN,Definitely endangered,30000.0,33.5139,48.0102,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Hawrami,"Iran (Islamic Republic of), Iraq",IRN,Definitely endangered,23000.0,35.4259,46.2551,4.695981481481481,67.0,48.29,Very Low Proficiency,2,160173085987.71393
Ashtiani,Iran (Islamic Republic of),IRN,Definitely endangered,21000.0,34.4861,51.0562,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Khunsari,Iran (Islamic Republic of),IRN,Definitely endangered,21000.0,32.8795,51.6796,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Semnani,Iran (Islamic Republic of),IRN,Definitely endangered,21000.0,34.8679,53.4924,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Vafsi,Iran (Islamic Republic of),IRN,Definitely endangered,18000.0,34.0867,49.8861,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Dari,Iran (Islamic Republic of),IRN,Definitely endangered,15000.0,31.8402,54.1625,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Bashkardi,Iran (Islamic Republic of),IRN,Definitely endangered,7000.0,28.5169,57.7551,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Gazi,Iran (Islamic Republic of),IRN,Definitely endangered,7000.0,32.8036,51.6211,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Natanzi,Iran (Islamic Republic of),IRN,Severely endangered,7000.0,33.452,51.3006,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Nayini,Iran (Islamic Republic of),IRN,Severely endangered,7000.0,32.8519,53.1573,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Sivandi,Iran (Islamic Republic of),IRN,Definitely endangered,7000.0,29.9168,51.5945,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Soi,Iran (Islamic Republic of),IRN,Definitely endangered,7000.0,31.6533,55.6787,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Mandaic,"Iran (Islamic Republic of), Iraq",IRN,Critically endangered,300.0,31.3348,48.7023,4.695981481481481,67.0,48.29,Very Low Proficiency,2,160173085987.71393
Koroshi,Iran (Islamic Republic of),IRN,Critically endangered,200.0,29.8978,52.6574,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Senaya,Iran (Islamic Republic of),IRN,Critically endangered,60.0,36.2664,50.0042,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Lishan Didan (Iran),Iran (Islamic Republic of),IRN,Extinct,0.0,37.9615,44.6044,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Hulaula (Iran),Iran (Islamic Republic of),IRN,Extinct,,35.9068,46.1535,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Tati,Iran (Islamic Republic of),IRN,Definitely endangered,,38.2036,48.2519,4.695981481481481,67.0,48.29,Very Low Proficiency,1,160173085987.71393
Huasteca Náhuatl,Mexico,MEX,Vulnerable,463183.0,21.3835,-98.9902,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Central Náhuatl,Mexico,MEX,Vulnerable,395581.0,19.191,-99.0236,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Sierra Totonac,Mexico,MEX,Severely endangered,118367.0,20.2461,-97.6586,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Phurhepecha,Mexico,MEX,Vulnerable,102988.0,19.3111,-102.041,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Mezquital Otomí,Mexico,MEX,Definitely endangered,88789.0,20.4831,-99.217,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Eastern Mazahua,Mexico,MEX,Definitely endangered,88001.0,19.7129,-99.9515,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Central Otomí,Mexico,MEX,Definitely endangered,84593.0,19.4661,-99.5944,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Sierra de Puebla Náhuatl,Mexico,MEX,Definitely endangered,57189.0,19.6223,-97.8149,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Papantla Totonac,Mexico,MEX,Definitely endangered,49748.0,20.4477,-97.32,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Sierra Otomí,Mexico,MEX,Vulnerable,43468.0,20.1021,-97.622,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Lower Mixe,Mexico,MEX,Vulnerable,37000.0,16.9616,-95.093,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Chontal Tabasco,Mexico,MEX,Severely endangered,36514.0,17.7607,-92.5936,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Huichol,Mexico,MEX,Vulnerable,35724.0,22.65,-103.5833,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Highland Mazatec,Mexico,MEX,Vulnerable,33859.0,18.1307,-96.8436,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Mayo,Mexico,MEX,Critically endangered,32869.0,26.9114,-109.6271,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Sierra Popoluca,Mexico,MEX,Vulnerable,28700.0,18.245,-94.76,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Soyaltepec Mazatec,Mexico,MEX,Vulnerable,27524.0,18.2499,-96.3995,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Western Mazahua,Mexico,MEX,Definitely endangered,27037.0,19.4372,-100.3552,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Isthmus Náhuatl,Mexico,MEX,Vulnerable,26632.0,18.2209,-94.8382,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Higher Reservoir Mazatec,Mexico,MEX,Vulnerable,20665.0,18.158,-96.7045,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Chilchotla Mazatec,Mexico,MEX,Vulnerable,20585.0,18.2934,-96.7029,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
"Zapotec of the Valleys, middle northwest",Mexico,MEX,Definitely endangered,20448.0,17.05,-96.6333,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Lowland Mazatec,Mexico,MEX,Vulnerable,18389.0,18.0801,-96.5236,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
San Mateo del Mar Huave,Mexico,MEX,Vulnerable,12667.0,16.2,-94.9833,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Mazatlán Mazatec,Mexico,MEX,Vulnerable,12340.0,18.033,-96.8999,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Yaqui (Mexico),Mexico,MEX,Vulnerable,11806.0,27.6436,-110.296,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Filomeno Mata Totonac,Mexico,MEX,Vulnerable,11710.0,20.198,-97.7022,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Northern Totonac,Mexico,MEX,Critically endangered,11529.0,20.2741,-97.955,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Northwestern Tarahumara,Mexico,MEX,Vulnerable,10031.0,27.9169,-107.0552,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Western Tarahumara,Mexico,MEX,Vulnerable,9196.0,27.3361,-108.5007,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Central Cuicatec,Mexico,MEX,Vulnerable,8621.0,17.8,-96.961,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Northern Popoloc,Mexico,MEX,Vulnerable,8597.0,18.6818,-97.658,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Ixcatlán Mazatec,Mexico,MEX,Vulnerable,8593.0,18.1447,-96.4855,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Patla-Chicontla Totonac,Mexico,MEX,Severely endangered,8590.0,20.1644,-97.6927,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
Northwestern Tlapanec,Mexico,MEX,Vulnerable,8409.0,17.5595,-98.9332,4.282277777777779,58.0,49.76,Low Proficiency,1,435989038918.4713
