Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band,Number of Countries Spoken,GDP Average (Current US $)
Polesian,"Belarus, Poland, Ukraine",BLR,Vulnerable,800000.0,51.8629,23.9501,2.3295,39.0,53.53,Moderate Proficiency,3,34355837684.538673
Romani,"Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro",ALB,Definitely endangered,3500000.0,46.3165,22.3681,3.4917777777777776,53.0,51.49,Low Proficiency,29,6154159593.72541
Torlak,"Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia",ALB,Vulnerable,1500000.0,42.9644,22.1374,3.4917777777777776,53.0,51.49,Low Proficiency,5,6154159593.72541
Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia",ALB,Definitely endangered,500000.0,40.2292,21.1376,3.4917777777777776,53.0,51.49,Low Proficiency,5,6154159593.72541
Judezmo (Europe),"Albania, Algeria, Bosnia and Herzegovina, Bulgaria, Croatia, Greece, The former Yugoslav Republic of Macedonia, Morocco, Romania, Turkey, Serbia",ALB,Severely endangered,,41.2607,28.4985,3.4917777777777776,53.0,51.49,Low Proficiency,11,6154159593.72541
Yiddish (Israel),Israel,ISR,Definitely endangered,3000000.0,32.0833,34.8333,3.232388888888889,,,,1,91404321297.30763
Judezmo (Israel),Israel,ISR,Severely endangered,400000.0,32.0872,34.7737,3.232388888888889,,,,1,91404321297.30763
Moroccan Judeo-Arabic (Israel),Israel,ISR,Definitely endangered,300000.0,32.0476,34.7552,3.232388888888889,,,,1,91404321297.30763
Judeo-Berber (Israel),Israel,ISR,Severely endangered,30000.0,31.6767,34.5684,3.232388888888889,,,,1,91404321297.30763
Hulaula (Israel),Israel,ISR,Severely endangered,10000.0,32.2128,34.9118,3.232388888888889,,,,1,91404321297.30763
Lishana Deni (Israel),Israel,ISR,Severely endangered,7500.0,31.7748,35.1013,3.232388888888889,,,,1,91404321297.30763
Lishan Didan (Israel),Israel,ISR,Severely endangered,4000.0,32.0383,34.7827,3.232388888888889,,,,1,91404321297.30763
Lishanid Noshan (Israel),Israel,ISR,Severely endangered,3000.0,31.7188,34.7772,3.232388888888889,,,,1,91404321297.30763
Barzani Jewish Neo-Aramaic (Israel),Israel,ISR,Critically endangered,20.0,31.7888,35.1947,3.232388888888889,,,,1,91404321297.30763
Juhur (Israel),Israel,ISR,Definitely endangered,,31.5166,34.5964,3.232388888888889,,,,1,91404321297.30763
Tunisian Judeo-Arabic (Israel),Israel,ISR,Severely endangered,,32.0779,34.8019,3.232388888888889,,,,1,91404321297.30763
Gondi,India,IND,Vulnerable,2713790.0,19.5804,80.4418,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kumaoni,"India, Nepal",IND,Vulnerable,2003783.0,29.4778,79.8486,4.184796296296296,29.0,57.13,Moderate Proficiency,2,545871973314.2758
Kurux (India),India,IND,Vulnerable,1751489.0,22.1467,85.2758,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Tulu,India,IND,Vulnerable,1722768.0,12.0178,75.7067,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Kangdi,India,IND,Definitely endangered,1700000.0,32.4356,76.1242,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Meithei,India,IND,Vulnerable,1250000.0,24.7667,93.8946,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Tamang,"India, Nepal",IND,Vulnerable,1196639.0,27.7365,85.6858,4.184796296296296,29.0,57.13,Moderate Proficiency,2,545871973314.2758
Kui,India,IND,Vulnerable,916222.0,19.5908,83.9575,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
Khasi,India,IND,Vulnerable,912000.0,25.691,91.8676,4.184796296296296,29.0,57.13,Moderate Proficiency,1,545871973314.2758
