Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,GDP Average (Current US $)
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,405463417.11746,487602457.74641603,596423607.114715,695304363.031101,764887117.194486,872138730.754587,958463200.2054019,1082979707.65566,1245688253.10539,1320474860.3352,1379960893.85475,1531944134.0782099,1665100558.65922,1722798882.68156,1873452513.96648,1920111731.84358,1941340782.1229103,2021229050.27933,2228491620.11173,2330726256.9832397,2424581005.58659,2615083798.88268,2745251396.64804,2498882681.56425,2390502793.2960896,2549720670.3910604,2534636871.50838,2581564245.81006,2649720670.3910604,2691620111.7318397,2646927374.30168,2700558659.2178802,2 Billion
AFG,537777811.111111,548888895.5555559,546666677.777778,751111191.111111,800000044.4444441,1006666637.77778,1399999966.6666698,1673333417.77778,1373333366.6666698,1408888922.22222,1748886595.5555599,1831108971.1111102,1595555475.5555599,1733333264.4444401,2155555497.77778,2366666615.55556,2555555566.66667,2953333417.77778,3300000108.88889,3697940409.6109796,3641723321.99546,3478787909.09091,,,,,,,,,,,,,,,,,,,,,4055179566.34981,4515558808.10994,5226778808.89209,6209137624.771811,6971285594.68013,9747879531.86311,10109225813.6696,12439087076.7667,15856574731.4411,17804292964.1045,19907317065.6667,20561069558.2152,20484885119.7348,19907111418.9938,19046357714.4928,19543976895.4248,7 Billion
AGO,,,,,,,,,,,,,,,,,,,,,5930503400.83228,5550483035.90815,5550483035.90815,5784341596.36339,6131475065.23832,7553560459.1042795,7072063345.44786,8083872012.473259,8769250549.73596,10201099039.5655,11228764963.1618,10603784541.196999,8307810973.58848,5768720421.61367,4438321017.390679,5538749259.94714,7526446605.51712,7648377412.83277,6506229607.29432,6152922942.98032,9129594818.60749,8936063723.20121,15285594828.418001,17812705294.417,23552052407.5488,36970918699.2523,52381006892.037994,65266452081.385994,88538611205.1433,70307163678.1895,83799496611.6049,111789686464.26,128052853643.44699,136709862831.30801,145712200312.505,116193649124.475,101123851090.473,122123822333.73,39 Billion
ALB,,,,,,,,,,,,,,,,,,,,,,,,,1857338011.85488,1897050133.42015,2097326250.0,2080796250.0,2051236250.0,2253090000.0,2028553750.0,1099559027.77778,652174990.837304,1185315468.46295,1880951520.3972,2392764853.42107,3199641335.93751,2258513974.0968,2545964540.88383,3212121650.97755,3480355258.0412197,3922100793.5403,4348068242.19512,5611496257.14231,7184685781.51876,8052073539.38058,8896072918.9814,10677324144.4289,12881353507.8539,12044208085.863998,11926957254.6288,12890866742.6533,12319784886.2038,12776280961.155,13228247844.1247,11386931489.7968,11883682170.8236,13038538300.2644,6 Billion
AND,,,,,,,,,,,78619206.0850963,89409820.3592814,113408231.94408502,150820102.798401,186558696.279204,220127246.376812,227281024.620741,254020153.340635,308008897.569444,411578334.159643,446416105.825017,388958731.302938,375895956.383462,327861832.94663596,330070689.29828197,346737964.774951,482000594.03587997,611316399.407088,721425939.15155,795449332.396346,1029048481.88051,1106928582.86629,1210013651.87713,1007025755.00065,1017549124.33238,1178738991.19295,1223945356.6268198,1180597272.72727,1211932397.81713,1239876305.13531,1434429703.33518,1496912751.67785,1733116883.1168802,2398645598.19413,2935659299.72684,3255789080.96008,3543256805.92147,4016972351.4919205,4007353156.58415,3660530702.97305,3355695364.23841,3442062830.13622,3164615186.94591,3281585236.3250103,3350736367.25488,2811489408.89431,2877311946.90265,3012914131.16971,2 Billion
ARB,,,,,,,,,25602178562.5391,28132432225.1838,31705853030.0283,36733034967.5609,43792913097.7754,55448298103.8346,105341592850.765,116516174253.32,144841302607.404,167156343957.551,183563837139.04102,248595600128.175,338248771411.719,347656118407.86304,326020360664.888,306261791758.792,310632323085.707,307407291560.648,293367374486.247,312752951185.987,307570926002.98,322523097140.70197,446901684405.475,440649432072.992,471671634103.682,477133962042.005,487661715245.43,523928956600.448,578398811758.0239,613432360792.609,591681589857.1271,644050661585.063,735188056517.1659,723449066469.795,729231446595.318,823341300650.195,964327345387.5309,1185142919458.18,1404653310998.68,1638213879955.77,2078570170452.08,1796199871252.04,2109932335481.52,2501738923095.22,2786787184920.6,2866861303189.56,2908394129857.66,2560753811359.54,2513935702899.65,2586310796347.12,851 Billion
ARE,,,,,,,,,,,,,,,,14720672506.5004,19213022691.0526,24871775164.6043,23775831783.4263,31225463217.7582,43598748449.0479,49333424135.1131,46622718605.2847,42803323345.1376,41807954235.903,40603650231.5445,33943612094.7971,36384908744.2114,36275674203.2144,41464995913.9199,50701443748.2975,51552165622.4462,54239171887.769005,55625170253.337006,59305093979.842,65743666575.8649,73571233996.1863,78839008444.5655,75674336283.1858,84445473110.9598,104337372362.151,103311640571.81801,109816201497.61699,124346358066.71199,147824370319.94598,180617018379.85,222116541865.214,257916133424.09802,315474615738.598,253547358747.447,289787338325.391,350666031313.819,374590605854.323,390107556160.654,403137100068.073,358135057862.492,357045064669.84296,382575085091.899,137 Billion
ARG,,,24450604877.6081,18272123664.4715,25605249381.7597,28344705966.6389,28630474727.9023,24256667553.2569,26436857247.4982,31256284543.6155,31584210365.5447,33293199095.4881,34733000536.2862,52544000116.9037,72436777342.4554,52438647921.9226,51169499890.7722,56781000100.9448,58082870156.2634,69252328953.3789,76961923741.9478,78676842366.4213,84307486836.724,103979106777.911,79092001998.032,88416668900.2596,110934442762.694,111106191358.19699,126206817196.091,76636898036.4712,141352368714.691,189719984268.485,228788617201.696,236741715015.015,257440000000.0,258031750000.0,272149750000.0,292859000000.0,298948250000.0,283523000000.0,284203750000.0,268696750000.0,97724004251.8602,127586973492.17699,164657930452.787,198737095012.28198,232557260817.308,287530508430.568,361558037110.419,332976484577.61896,423627422092.49,530163281574.65796,545982375701.128,552025140252.246,526319673731.63794,594749285413.212,554860945013.62,637430331479.469,194 Billion
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858.4271398,2068526521.9029899,1272577456.12712,1201313201.0127199,1315158670.28285,1468317350.06841,1596968913.27897,1639492424.3647199,1893726437.2646198,1845482181.4480102,1911563665.3900602,2118467913.37873,2376335048.3997602,2807061008.69084,3576615240.41616,4900469950.09033,6384451606.1421,9206301700.39619,11662040713.8753,8647936747.987041,9260284937.797821,10142111334.4961,10619320048.5857,11121465767.4067,11609512939.7543,10553337672.9872,10546135160.031,11536590635.8268,6 Billion
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514000000.0,527000000.0,512000000.0,503000000.0,496000000.0,520000000.0,563000000.0,678000000.0,576000000.0,574000000.0,644000000.0,641000000.0,643000000.0,661000000.0,653000000.0,634000000.0,584 Million
ATG,,,,,,,,,,,,,,,,,,77496753.7037037,87879341.48148149,109079978.888889,131431026.666667,147841734.444444,164369278.88888898,182144092.96296299,208372846.296296,240923924.81481498,290440140.740741,337174861.851852,398637727.77777797,438794788.518519,459469058.88888896,481706342.222222,499281144.07407403,535172767.40740705,589429609.62963,577280726.666667,633730647.037037,680617122.592593,727860577.777778,766198910.0,830158768.888889,800740257.407407,814615323.703704,855643099.62963,919577142.592592,1022191294.07407,1157005441.4814801,1311401318.88889,1368431043.3333302,1224253013.7037,1152469068.5185199,1142042915.5555599,1211411704.4444401,1192919619.25926,1275576784.4444401,1359194737.40741,1464630213.3333302,1510084750.74074,717 Million
