Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band
Aromanian,"Albania, Bulgaria, Greece, The former Yugoslav Republic of Macedonia, Serbia",ALB,Definitely endangered,500000.0,40.2292,21.1376,3.4917777777777776,52.0,51.49,Low Proficiency
Judezmo (Europe),"Albania, Algeria, Bosnia and Herzegovina, Bulgaria, Croatia, Greece, The former Yugoslav Republic of Macedonia, Morocco, Romania, Turkey, Serbia",ALB,Severely endangered,,41.2607,28.4985,3.4917777777777776,52.0,51.49,Low Proficiency
Yiddish (Israel),Israel,ISR,Definitely endangered,3000000.0,32.0833,34.8333,3.232388888888889,,,
Judezmo (Israel),Israel,ISR,Severely endangered,400000.0,32.0872,34.7737,3.232388888888889,,,
Moroccan Judeo-Arabic (Israel),Israel,ISR,Definitely endangered,300000.0,32.0476,34.7552,3.232388888888889,,,
Judeo-Berber (Israel),Israel,ISR,Severely endangered,30000.0,31.6767,34.5684,3.232388888888889,,,
Hulaula (Israel),Israel,ISR,Severely endangered,10000.0,32.2128,34.9118,3.232388888888889,,,
Lishana Deni (Israel),Israel,ISR,Severely endangered,7500.0,31.7748,35.1013,3.232388888888889,,,
Lishan Didan (Israel),Israel,ISR,Severely endangered,4000.0,32.0383,34.7827,3.232388888888889,,,
Lishanid Noshan (Israel),Israel,ISR,Severely endangered,3000.0,31.7188,34.7772,3.232388888888889,,,
Barzani Jewish Neo-Aramaic (Israel),Israel,ISR,Critically endangered,20.0,31.7888,35.1947,3.232388888888889,,,
Juhur (Israel),Israel,ISR,Definitely endangered,,31.5166,34.5964,3.232388888888889,,,
Tunisian Judeo-Arabic (Israel),Israel,ISR,Severely endangered,,32.0779,34.8019,3.232388888888889,,,
Gondi,India,IND,Vulnerable,2713790.0,19.5804,80.4418,4.184796296296296,28.0,57.13,Moderate Proficiency
Kumaoni,"India, Nepal",IND,Vulnerable,2003783.0,29.4778,79.8486,4.184796296296296,28.0,57.13,Moderate Proficiency
Kurux (India),India,IND,Vulnerable,1751489.0,22.1467,85.2758,4.184796296296296,28.0,57.13,Moderate Proficiency
Tulu,India,IND,Vulnerable,1722768.0,12.0178,75.7067,4.184796296296296,28.0,57.13,Moderate Proficiency
Kangdi,India,IND,Definitely endangered,1700000.0,32.4356,76.1242,4.184796296296296,28.0,57.13,Moderate Proficiency
Meithei,India,IND,Vulnerable,1250000.0,24.7667,93.8946,4.184796296296296,28.0,57.13,Moderate Proficiency
Tamang,"India, Nepal",IND,Vulnerable,1196639.0,27.7365,85.6858,4.184796296296296,28.0,57.13,Moderate Proficiency
Kui,India,IND,Vulnerable,916222.0,19.5908,83.9575,4.184796296296296,28.0,57.13,Moderate Proficiency
Khasi,India,IND,Vulnerable,912000.0,25.691,91.8676,4.184796296296296,28.0,57.13,Moderate Proficiency
Bodo,India,IND,Vulnerable,900000.0,26.7554,92.8674,4.184796296296296,28.0,57.13,Moderate Proficiency
Mundari,India,IND,Vulnerable,750000.0,22.3297,86.0449,4.184796296296296,28.0,57.13,Moderate Proficiency
Angika,"India, Nepal",IND,Vulnerable,740892.0,24.7451,85.3124,4.184796296296296,28.0,57.13,Moderate Proficiency
Mandeali,India,IND,Definitely endangered,611930.0,31.4099,76.9921,4.184796296296296,28.0,57.13,Moderate Proficiency
Mising,India,IND,Definitely endangered,550000.0,26.9612,94.0539,4.184796296296296,28.0,57.13,Moderate Proficiency
Mizo,India,IND,Vulnerable,529000.0,22.9988,92.9223,4.184796296296296,28.0,57.13,Moderate Proficiency
Mahasui,India,IND,Definitely endangered,496024.0,31.2738,77.1295,4.184796296296296,28.0,57.13,Moderate Proficiency
Karbi,India,IND,Vulnerable,420000.0,26.2934,93.2299,4.184796296296296,28.0,57.13,Moderate Proficiency
Ho,India,IND,Vulnerable,400000.0,21.636999999999997,86.4404,4.184796296296296,28.0,57.13,Moderate Proficiency
Kurru,India,IND,Definitely endangered,300000.0,16.6151,81.6284,4.184796296296296,28.0,57.13,Moderate Proficiency
Kuvi,India,IND,Definitely endangered,300000.0,18.9478,83.5839,4.184796296296296,28.0,57.13,Moderate Proficiency
Limbu,"India, Nepal",IND,Definitely endangered,300000.0,27.096,87.7356,4.184796296296296,28.0,57.13,Moderate Proficiency
Garhwali,India,IND,Vulnerable,279500.0,30.0976,79.1235,4.184796296296296,28.0,57.13,Moderate Proficiency
Sora,India,IND,Vulnerable,250000.0,19.1244,83.2104,4.184796296296296,28.0,57.13,Moderate Proficiency
Konyak,India,IND,Vulnerable,248000.0,26.9367,95.1745,4.184796296296296,28.0,57.13,Moderate Proficiency
Ao,India,IND,Vulnerable,243000.0,26.4361,94.6472,4.184796296296296,28.0,57.13,Moderate Proficiency
Malto,India,IND,Definitely endangered,224926.0,23.7853,85.4736,4.184796296296296,28.0,57.13,Moderate Proficiency
Irula,India,IND,Vulnerable,200000.0,11.4369,76.5032,4.184796296296296,28.0,57.13,Moderate Proficiency
Kharia,India,IND,Vulnerable,200000.0,21.8003,85.4956,4.184796296296296,28.0,57.13,Moderate Proficiency
Korku,India,IND,Vulnerable,200000.0,20.3034,80.2441,4.184796296296296,28.0,57.13,Moderate Proficiency
Thado,India,IND,Vulnerable,191000.0,24.4521,93.2354,4.184796296296296,28.0,57.13,Moderate Proficiency
Kului,India,IND,Definitely endangered,170770.0,31.4403,77.1487,4.184796296296296,28.0,57.13,Moderate Proficiency
Lhota,India,IND,Vulnerable,170000.0,26.1603,94.3725,4.184796296296296,28.0,57.13,Moderate Proficiency
Nyishi,India,IND,Vulnerable,170000.0,27.5277,93.0981,4.184796296296296,28.0,57.13,Moderate Proficiency
Kodagu,India,IND,Definitely endangered,166187.0,11.6952,75.9375,4.184796296296296,28.0,57.13,Moderate Proficiency
Rabha,India,IND,Vulnerable,150000.0,25.9284,90.9777,4.184796296296296,28.0,57.13,Moderate Proficiency
Tangkhul,India,IND,Vulnerable,142000.0,25.0358,94.4824,4.184796296296296,28.0,57.13,Moderate Proficiency
Badaga,India,IND,Definitely endangered,134514.0,11.3642,76.5266,4.184796296296296,28.0,57.13,Moderate Proficiency
Angami,India,IND,Vulnerable,132000.0,25.7553,94.1308,4.184796296296296,28.0,57.13,Moderate Proficiency
Chambeali,India,IND,Definitely endangered,126589.0,32.9072,76.5307,4.184796296296296,28.0,57.13,Moderate Proficiency
Phom,India,IND,Vulnerable,123000.0,26.7799,94.9493,4.184796296296296,28.0,57.13,Moderate Proficiency
Kolami,India,IND,Definitely endangered,121855.0,20.5093,78.1787,4.184796296296296,28.0,57.13,Moderate Proficiency
Konda,India,IND,Definitely endangered,118597.0,18.2763,82.9385,4.184796296296296,28.0,57.13,Moderate Proficiency
Jaunsari,India,IND,Definitely endangered,114733.0,30.4859,78.0908,4.184796296296296,28.0,57.13,Moderate Proficiency
Dimasa,India,IND,Vulnerable,112000.0,24.7368,92.9003,4.184796296296296,28.0,57.13,Moderate Proficiency
Simi,India,IND,Vulnerable,104000.0,25.9777,94.5922,4.184796296296296,28.0,57.13,Moderate Proficiency
Kabui,India,IND,Vulnerable,95000.0,24.7218,93.6584,4.184796296296296,28.0,57.13,Moderate Proficiency
Yimchungru,India,IND,Vulnerable,92000.0,25.9629,94.9713,4.184796296296296,28.0,57.13,Moderate Proficiency
Chokri,India,IND,Vulnerable,84000.0,25.8691,94.7131,4.184796296296296,28.0,57.13,Moderate Proficiency
Sangtam,India,IND,Vulnerable,84000.0,26.6032,94.9603,4.184796296296296,28.0,57.13,Moderate Proficiency
Mao,India,IND,Vulnerable,81000.0,25.5027,94.2681,4.184796296296296,28.0,57.13,Moderate Proficiency
