Language,Countries Where Spoken,Country Code,Degree of Endangerment,Speakers,Latitude,Longitude,Fertility Rate Avg,2018 Rank,2018 Score,2018 Band
Jirel,Nepal,NPL,Definitely endangered,4919.0,27.6419,86.2123,4.914018518518519,,,
Tsum,Nepal,NPL,Definitely endangered,4786.0,28.4723,85.008,4.914018518518519,,,
Dungmali,Nepal,NPL,Definitely endangered,4609.0,27.1874,87.1902,4.914018518518519,,,
Wambule,Nepal,NPL,Vulnerable,4471.0,27.1746,86.4363,4.914018518518519,,,
Puma,Nepal,NPL,Severely endangered,4310.0,26.9692,86.9004,4.914018518518519,,,
Nupri,Nepal,NPL,Definitely endangered,3776.0,28.6384,84.6079,4.914018518518519,,,
Nachiring,Nepal,NPL,Severely endangered,3553.0,27.4144,86.7521,4.914018518518519,,,
Limirong Tibetan,Nepal,NPL,Definitely endangered,3000.0,29.9164,81.7617,4.914018518518519,,,
Bahing,Nepal,NPL,Definitely endangered,2765.0,27.3126,86.5571,4.914018518518519,,,
Kohi,Nepal,NPL,Vulnerable,2641.0,27.3607,86.8661,4.914018518518519,,,
Raji,Nepal,NPL,Severely endangered,2413.0,27.9721,82.3135,4.914018518518519,,,
Athpahariya,Nepal,NPL,Definitely endangered,2000.0,26.951999999999998,87.3399,4.914018518518519,,,
Jero,Nepal,NPL,Vulnerable,2000.0,27.2241,86.3909,4.914018518518519,,,
Nyishangba,Nepal,NPL,Definitely endangered,2000.0,28.6423,84.1017,4.914018518518519,,,
Yamphu,Nepal,NPL,Definitely endangered,1722.0,27.5935,87.3316,4.914018518518519,,,
Chintang,Nepal,NPL,Severely endangered,1500.0,26.9367,87.1991,4.914018518518519,,,
Chɨlɨng,Nepal,NPL,Definitely endangered,1314.0,26.9483,87.2527,4.914018518518519,,,
Kāgate,Nepal,NPL,Definitely endangered,1273.0,27.5449,86.2925,4.914018518518519,,,
Lohorung,Nepal,NPL,Severely endangered,1207.0,27.4266,87.2498,4.914018518518519,,,
Mewahang,Nepal,NPL,Severely endangered,904.0,27.5441,87.1401,4.914018518518519,,,
Kaike,Nepal,NPL,Definitely endangered,794.0,28.9642,82.9819,4.914018518518519,,,
Narpa,Nepal,NPL,Definitely endangered,533.0,28.7315,84.26100000000001,4.914018518518519,,,
Raute,Nepal,NPL,Severely endangered,518.0,28.9744,80.7969,4.914018518518519,,,
Seke,Nepal,NPL,Vulnerable,500.0,28.9282,83.8249,4.914018518518519,,,
Barām,Nepal,NPL,Critically endangered,342.0,28.041,84.62899999999999,4.914018518518519,,,
Tilung,Nepal,NPL,Definitely endangered,310.0,27.1501,86.5077,4.914018518518519,,,
Hayu,Nepal,NPL,Critically endangered,200.0,27.2912,86.0696,4.914018518518519,,,
Kusunda,Nepal,NPL,Critically endangered,87.0,27.9275,84.2866,4.914018518518519,,,
Surel,Nepal,NPL,Critically endangered,25.0,27.6969,86.3058,4.914018518518519,,,
Sām,Nepal,NPL,Severely endangered,23.0,27.3595,86.9979,4.914018518518519,,,
Dumi,Nepal,NPL,Critically endangered,8.0,27.3095,86.7521,4.914018518518519,,,
Dura,Nepal,NPL,Extinct,0.0,28.2898,84.4519,4.914018518518519,,,
Gyasumdo,Nepal,NPL,Definitely endangered,0.0,28.5969,84.2253,4.914018518518519,,,
Khaccaḍ Bhoṭe,Nepal,NPL,Definitely endangered,0.0,28.1113,85.3674,4.914018518518519,,,
Langthang Tibetan,Nepal,NPL,Definitely endangered,0.0,28.21,85.5697,4.914018518518519,,,
Loke Tibetan,Nepal,NPL,Definitely endangered,0.0,28.82,83.7721,4.914018518518519,,,
Mon,"Myanmar, Thailand",MMR,Vulnerable,800000.0,16.4666,97.7833,4.048037037037037,82.0,44.23,Very Low Proficiency
Mru,Myanmar,MMR,Severely endangered,40000.0,21.7748,92.2741,4.048037037037037,82.0,44.23,Very Low Proficiency
"Mok (Myanmar, Thailand)","Myanmar, Thailand",MMR,Definitely endangered,30000.0,21.7333,99.7666,4.048037037037037,82.0,44.23,Very Low Proficiency
Yaw,Myanmar,MMR,Definitely endangered,20000.0,21.6,94.8333,4.048037037037037,82.0,44.23,Very Low Proficiency
Moklen,"Myanmar, Thailand",MMR,Definitely endangered,6000.0,8.1953,98.3036,4.048037037037037,82.0,44.23,Very Low Proficiency
Anung (Myanmar),Myanmar,MMR,Severely endangered,3500.0,27.2,98.6333,4.048037037037037,82.0,44.23,Very Low Proficiency
Sak (Myanmar),Myanmar,MMR,Vulnerable,3500.0,21.2333,93.0761,4.048037037037037,82.0,44.23,Very Low Proficiency
Bisu,"Myanmar, Thailand",MMR,Definitely endangered,2740.0,19.715,99.6789,4.048037037037037,82.0,44.23,Very Low Proficiency
Laomian (Myanmar),Myanmar,MMR,Definitely endangered,2500.0,22.6833,99.25,4.048037037037037,82.0,44.23,Very Low Proficiency
Danaw,Myanmar,MMR,Critically endangered,1000.0,21.191999999999997,97.3937,4.048037037037037,82.0,44.23,Very Low Proficiency
Kadu,Myanmar,MMR,Severely endangered,1000.0,24.2042,95.6332,4.048037037037037,82.0,44.23,Very Low Proficiency
Ganan,Myanmar,MMR,Severely endangered,500.0,24.2317,95.3778,4.048037037037037,82.0,44.23,Very Low Proficiency
Chawte,Myanmar,MMR,Definitely endangered,200.0,24.1918,94.2736,4.048037037037037,82.0,44.23,Very Low Proficiency
Hpun,Myanmar,MMR,Extinct,0.0,24.65,97.0666,4.048037037037037,82.0,44.23,Very Low Proficiency
Malin,Myanmar,MMR,Extinct,0.0,24.57,94.56,4.048037037037037,82.0,44.23,Very Low Proficiency
Pyu,Myanmar,MMR,Extinct,0.0,18.9424,94.8751,4.048037037037037,82.0,44.23,Very Low Proficiency
Taman,Myanmar,MMR,Extinct,0.0,25.1651,95.2514,4.048037037037037,82.0,44.23,Very Low Proficiency
Angku,Myanmar,MMR,Critically endangered,,21.4888,100.8325,4.048037037037037,82.0,44.23,Very Low Proficiency
En,Myanmar,MMR,Critically endangered,,21.2872,99.4816,4.048037037037037,82.0,44.23,Very Low Proficiency
Palaung,Myanmar,MMR,Severely endangered,,23.1058,97.488,4.048037037037037,82.0,44.23,Very Low Proficiency
Pale,Myanmar,MMR,Severely endangered,,22.1511,97.8386,4.048037037037037,82.0,44.23,Very Low Proficiency
Riang,Myanmar,MMR,Critically endangered,,21.9048,98.2342,4.048037037037037,82.0,44.23,Very Low Proficiency
Rumai,Myanmar,MMR,Severely endangered,,23.7363,97.9927,4.048037037037037,82.0,44.23,Very Low Proficiency
Tailoi,Myanmar,MMR,Critically endangered,,21.4275,100.7473,4.048037037037037,82.0,44.23,Very Low Proficiency
Wa,Myanmar,MMR,Severely endangered,,21.8705,99.6519,4.048037037037037,82.0,44.23,Very Low Proficiency
Tamaceq,Mali,MLI,Definitely endangered,800000.0,16.7992,-3.0102,6.91698148148148,,,
Banka,Mali,MLI,Definitely endangered,2500.0,11.4261,-5.6744,6.91698148148148,,,
Kokborok,"Bangladesh, India",BGD,Vulnerable,695000.0,23.7752,91.6918,4.934185185185187,63.0,48.72,Low Proficiency
Bishnupriya Manipuri Creole,"Bangladesh, India",BGD,Vulnerable,72899.0,24.296999999999997,92.4499,4.934185185185187,63.0,48.72,Low Proficiency
Kurux (Bangladesh),Bangladesh,BGD,Vulnerable,65000.0,25.8196,88.9672,4.934185185185187,63.0,48.72,Low Proficiency
Bawm,"Bangladesh, India",BGD,Definitely endangered,14000.0,22.1874,92.6477,4.934185185185187,63.0,48.72,Low Proficiency
Sak (Bangladesh),Bangladesh,BGD,Severely endangered,5500.0,21.5041,92.2055,4.934185185185187,63.0,48.72,Low Proficiency
Basque,"Spain, France",ESP,Vulnerable,660000.0,43.133,-2.0764,1.934814814814815,32.0,55.85,Moderate Proficiency
Gascon,"Spain, France",ESP,Definitely endangered,250000.0,43.1811,-0.1428,1.934814814814815,32.0,55.85,Moderate Proficiency
Asturian-Leonese,"Spain, Portugal",ESP,Definitely endangered,150000.0,42.7954,-5.6689,1.934814814814815,32.0,55.85,Moderate Proficiency
Aragonese,Spain,ESP,Definitely endangered,10000.0,42.2935,-0.4394,1.934814814814815,32.0,55.85,Moderate Proficiency
Guanche,Spain,ESP,Extinct,0.0,27.9264,-15.6774,1.934814814814815,32.0,55.85,Moderate Proficiency
Mozarabic,Spain,ESP,Extinct,0.0,37.4574,-3.988,1.934814814814815,32.0,55.85,Moderate Proficiency
Ossete,"Georgia, Russian Federation",GEO,Vulnerable,550000.0,42.9564,44.4946,2.203555555555555,45.0,52.28,Low Proficiency
Mingrelian,Georgia,GEO,Definitely endangered,350000.0,42.4599,41.7205,2.203555555555555,45.0,52.28,Low Proficiency
Laz,"Georgia, Turkey",GEO,Definitely endangered,130000.0,41.2736,41.2646,2.203555555555555,45.0,52.28,Low Proficiency
Abkhaz,"Georgia, Russian Federation, Turkey",GEO,Vulnerable,125000.0,43.133,40.8471,2.203555555555555,45.0,52.28,Low Proficiency
Svan,Georgia,GEO,Definitely endangered,80000.0,43.0207,42.3193,2.203555555555555,45.0,52.28,Low Proficiency
Bohtan Neo-Aramaic,"Georgia, Russian Federation",GEO,Severely endangered,1000.0,41.5579,45.0219,2.203555555555555,45.0,52.28,Low Proficiency
Bats,Georgia,GEO,Severely endangered,500.0,42.0982,45.0878,2.203555555555555,45.0,52.28,Low Proficiency
Homshetsma (Caucasus),"Georgia, Russian Federation",GEO,Severely endangered,,43.2452,40.3582,2.203555555555555,45.0,52.28,Low Proficiency
Udi (Georgia),Georgia,GEO,Severely endangered,,41.8905,45.913000000000004,2.203555555555555,45.0,52.28,Low Proficiency
Urum,"Georgia, Russian Federation, Ukraine",GEO,Definitely endangered,,47.0102,36.7822,2.203555555555555,45.0,52.28,Low Proficiency
Brahui,"Iran (Islamic Republic of), Pakistan, Afghanistan",IRN,Vulnerable,500000.0,29.0369,66.5826,4.695981481481481,,,
Khorasani Turk,Iran (Islamic Republic of),IRN,Vulnerable,200000.0,36.6596,57.854,4.695981481481481,,,
Lari,Iran (Islamic Republic of),IRN,Definitely endangered,80000.0,27.8585,54.8547,4.695981481481481,,,
Khalaj,Iran (Islamic Republic of),IRN,Vulnerable,42100.0,34.3751,50.3063,4.695981481481481,,,
Dzhidi,Iran (Islamic Republic of),IRN,Definitely endangered,30000.0,33.5139,48.0102,4.695981481481481,,,
Hawrami,"Iran (Islamic Republic of), Iraq",IRN,Definitely endangered,23000.0,35.4259,46.2551,4.695981481481481,,,
Ashtiani,Iran (Islamic Republic of),IRN,Definitely endangered,21000.0,34.4861,51.0562,4.695981481481481,,,
Khunsari,Iran (Islamic Republic of),IRN,Definitely endangered,21000.0,32.8795,51.6796,4.695981481481481,,,
Semnani,Iran (Islamic Republic of),IRN,Definitely endangered,21000.0,34.8679,53.4924,4.695981481481481,,,
Vafsi,Iran (Islamic Republic of),IRN,Definitely endangered,18000.0,34.0867,49.8861,4.695981481481481,,,
Dari,Iran (Islamic Republic of),IRN,Definitely endangered,15000.0,31.8402,54.1625,4.695981481481481,,,
Bashkardi,Iran (Islamic Republic of),IRN,Definitely endangered,7000.0,28.5169,57.7551,4.695981481481481,,,
Gazi,Iran (Islamic Republic of),IRN,Definitely endangered,7000.0,32.8036,51.6211,4.695981481481481,,,
Natanzi,Iran (Islamic Republic of),IRN,Severely endangered,7000.0,33.452,51.3006,4.695981481481481,,,
Nayini,Iran (Islamic Republic of),IRN,Severely endangered,7000.0,32.8519,53.1573,4.695981481481481,,,
Sivandi,Iran (Islamic Republic of),IRN,Definitely endangered,7000.0,29.9168,51.5945,4.695981481481481,,,
Soi,Iran (Islamic Republic of),IRN,Definitely endangered,7000.0,31.6533,55.6787,4.695981481481481,,,
Mandaic,"Iran (Islamic Republic of), Iraq",IRN,Critically endangered,300.0,31.3348,48.7023,4.695981481481481,,,
Koroshi,Iran (Islamic Republic of),IRN,Critically endangered,200.0,29.8978,52.6574,4.695981481481481,,,
Senaya,Iran (Islamic Republic of),IRN,Critically endangered,60.0,36.2664,50.0042,4.695981481481481,,,
Lishan Didan (Iran),Iran (Islamic Republic of),IRN,Extinct,0.0,37.9615,44.6044,4.695981481481481,,,
Hulaula (Iran),Iran (Islamic Republic of),IRN,Extinct,,35.9068,46.1535,4.695981481481481,,,
Tati,Iran (Islamic Republic of),IRN,Definitely endangered,,38.2036,48.2519,4.695981481481481,,,
Huasteca Náhuatl,Mexico,MEX,Vulnerable,463183.0,21.3835,-98.9902,4.282277777777779,57.0,49.76,Low Proficiency
Central Náhuatl,Mexico,MEX,Vulnerable,395581.0,19.191,-99.0236,4.282277777777779,57.0,49.76,Low Proficiency
Sierra Totonac,Mexico,MEX,Severely endangered,118367.0,20.2461,-97.6586,4.282277777777779,57.0,49.76,Low Proficiency
Phurhepecha,Mexico,MEX,Vulnerable,102988.0,19.3111,-102.041,4.282277777777779,57.0,49.76,Low Proficiency
Mezquital Otomí,Mexico,MEX,Definitely endangered,88789.0,20.4831,-99.21700000000001,4.282277777777779,57.0,49.76,Low Proficiency
Eastern Mazahua,Mexico,MEX,Definitely endangered,88001.0,19.7129,-99.9515,4.282277777777779,57.0,49.76,Low Proficiency
Central Otomí,Mexico,MEX,Definitely endangered,84593.0,19.4661,-99.5944,4.282277777777779,57.0,49.76,Low Proficiency
Sierra de Puebla Náhuatl,Mexico,MEX,Definitely endangered,57189.0,19.6223,-97.8149,4.282277777777779,57.0,49.76,Low Proficiency
Papantla Totonac,Mexico,MEX,Definitely endangered,49748.0,20.4477,-97.32,4.282277777777779,57.0,49.76,Low Proficiency
Sierra Otomí,Mexico,MEX,Vulnerable,43468.0,20.1021,-97.62200000000001,4.282277777777779,57.0,49.76,Low Proficiency
Lower Mixe,Mexico,MEX,Vulnerable,37000.0,16.9616,-95.09299999999999,4.282277777777779,57.0,49.76,Low Proficiency
Chontal Tabasco,Mexico,MEX,Severely endangered,36514.0,17.7607,-92.5936,4.282277777777779,57.0,49.76,Low Proficiency
Huichol,Mexico,MEX,Vulnerable,35724.0,22.65,-103.5833,4.282277777777779,57.0,49.76,Low Proficiency
Highland Mazatec,Mexico,MEX,Vulnerable,33859.0,18.1307,-96.8436,4.282277777777779,57.0,49.76,Low Proficiency
Mayo,Mexico,MEX,Critically endangered,32869.0,26.9114,-109.6271,4.282277777777779,57.0,49.76,Low Proficiency
Sierra Popoluca,Mexico,MEX,Vulnerable,28700.0,18.245,-94.76,4.282277777777779,57.0,49.76,Low Proficiency
Soyaltepec Mazatec,Mexico,MEX,Vulnerable,27524.0,18.2499,-96.3995,4.282277777777779,57.0,49.76,Low Proficiency
Western Mazahua,Mexico,MEX,Definitely endangered,27037.0,19.4372,-100.3552,4.282277777777779,57.0,49.76,Low Proficiency
Isthmus Náhuatl,Mexico,MEX,Vulnerable,26632.0,18.2209,-94.8382,4.282277777777779,57.0,49.76,Low Proficiency
Higher Reservoir Mazatec,Mexico,MEX,Vulnerable,20665.0,18.158,-96.7045,4.282277777777779,57.0,49.76,Low Proficiency
Chilchotla Mazatec,Mexico,MEX,Vulnerable,20585.0,18.2934,-96.7029,4.282277777777779,57.0,49.76,Low Proficiency
"Zapotec of the Valleys, middle northwest",Mexico,MEX,Definitely endangered,20448.0,17.05,-96.6333,4.282277777777779,57.0,49.76,Low Proficiency
Lowland Mazatec,Mexico,MEX,Vulnerable,18389.0,18.0801,-96.5236,4.282277777777779,57.0,49.76,Low Proficiency
San Mateo del Mar Huave,Mexico,MEX,Vulnerable,12667.0,16.2,-94.9833,4.282277777777779,57.0,49.76,Low Proficiency
Mazatlán Mazatec,Mexico,MEX,Vulnerable,12340.0,18.033,-96.8999,4.282277777777779,57.0,49.76,Low Proficiency
Yaqui (Mexico),Mexico,MEX,Vulnerable,11806.0,27.6436,-110.296,4.282277777777779,57.0,49.76,Low Proficiency
Filomeno Mata Totonac,Mexico,MEX,Vulnerable,11710.0,20.198,-97.7022,4.282277777777779,57.0,49.76,Low Proficiency
Northern Totonac,Mexico,MEX,Critically endangered,11529.0,20.2741,-97.955,4.282277777777779,57.0,49.76,Low Proficiency
Northwestern Tarahumara,Mexico,MEX,Vulnerable,10031.0,27.9169,-107.0552,4.282277777777779,57.0,49.76,Low Proficiency
Western Tarahumara,Mexico,MEX,Vulnerable,9196.0,27.3361,-108.5007,4.282277777777779,57.0,49.76,Low Proficiency
Central Cuicatec,Mexico,MEX,Vulnerable,8621.0,17.8,-96.961,4.282277777777779,57.0,49.76,Low Proficiency
Northern Popoloc,Mexico,MEX,Vulnerable,8597.0,18.6818,-97.65799999999999,4.282277777777779,57.0,49.76,Low Proficiency
Ixcatlán Mazatec,Mexico,MEX,Vulnerable,8593.0,18.1447,-96.4855,4.282277777777779,57.0,49.76,Low Proficiency
Patla-Chicontla Totonac,Mexico,MEX,Severely endangered,8590.0,20.1644,-97.6927,4.282277777777779,57.0,49.76,Low Proficiency
Northwestern Tlapanec,Mexico,MEX,Vulnerable,8409.0,17.5595,-98.9332,4.282277777777779,57.0,49.76,Low Proficiency
Mam (Mexico),Mexico,MEX,Severely endangered,7977.0,17.3661,-93.5334,4.282277777777779,57.0,49.76,Low Proficiency
Central Pame,Mexico,MEX,Vulnerable,7399.0,21.9208,-99.3741,4.282277777777779,57.0,49.76,Low Proficiency
San Francisco del Mar Huave,Mexico,MEX,Critically endangered,6874.0,16.3333,-94.5166,4.282277777777779,57.0,49.76,Low Proficiency
Northern Tepehuán,Mexico,MEX,Definitely endangered,6802.0,26.4258,-107.2683,4.282277777777779,57.0,49.76,Low Proficiency
Western Mazatec,Mexico,MEX,Vulnerable,6639.0,18.1351,-96.9057,4.282277777777779,57.0,49.76,Low Proficiency
Lower Northwestern Otomí,Mexico,MEX,Vulnerable,6509.0,20.1865,-100.1469,4.282277777777779,57.0,49.76,Low Proficiency
Central Tlapanec,Mexico,MEX,Vulnerable,6191.0,17.2624,-98.7482,4.282277777777779,57.0,49.76,Low Proficiency
Central Zoque,Mexico,MEX,Definitely endangered,5500.0,17.0965,-93.2095,4.282277777777779,57.0,49.76,Low Proficiency
Southeastern Tarahumara,Mexico,MEX,Vulnerable,5406.0,26.0891,-106.9645,4.282277777777779,57.0,49.76,Low Proficiency
San Dionisio del Mar Huave,Mexico,MEX,Definitely endangered,5165.0,16.3166,-94.75,4.282277777777779,57.0,49.76,Low Proficiency
Northern Tlapanec,Mexico,MEX,Vulnerable,4771.0,17.4203,-98.7814,4.282277777777779,57.0,49.76,Low Proficiency
Puebla Mazatec,Mexico,MEX,Vulnerable,4660.0,18.476,-96.8351,4.282277777777779,57.0,49.76,Low Proficiency
Zapotec of Petapa,Mexico,MEX,Definitely endangered,4613.0,16.8333,-95.1166,4.282277777777779,57.0,49.76,Low Proficiency
Western Zoque,Mexico,MEX,Vulnerable,4100.0,16.9063,-91.7333,4.282277777777779,57.0,49.76,Low Proficiency
Mixtec of the Puebla-Oaxaca border,Mexico,MEX,Definitely endangered,3791.0,18.1333,-97.6833,4.282277777777779,57.0,49.76,Low Proficiency
Eastern Popoloc,Mexico,MEX,Vulnerable,3544.0,18.3322,-97.3471,4.282277777777779,57.0,49.76,Low Proficiency
Eloxochitlán Mazatec,Mexico,MEX,Vulnerable,3384.0,18.1754,-96.8765,4.282277777777779,57.0,49.76,Low Proficiency
Ayautla Mazatec,Mexico,MEX,Vulnerable,3192.0,18.019000000000002,-96.7441,4.282277777777779,57.0,49.76,Low Proficiency
Sayultec,Mexico,MEX,Definitely endangered,3150.0,17.8816,-94.9597,4.282277777777779,57.0,49.76,Low Proficiency
Eastern Tlapanec,Mexico,MEX,Vulnerable,3088.0,17.8135,-98.604,4.282277777777779,57.0,49.76,Low Proficiency
Southwestern Tepehuan,Mexico,MEX,Vulnerable,2756.0,22.8349,-105.7276,4.282277777777779,57.0,49.76,Low Proficiency
Chatino of the western lowlands,Mexico,MEX,Definitely endangered,2640.0,16.3049,-97.5466,4.282277777777779,57.0,49.76,Low Proficiency
Pisaflores Tepehua,Mexico,MEX,Vulnerable,2578.0,20.6883,-98.0125,4.282277777777779,57.0,49.76,Low Proficiency
Highland Chontal,Mexico,MEX,Severely endangered,2410.0,16.2832,-95.85700000000001,4.282277777777779,57.0,49.76,Low Proficiency
Tlachichilco Tepehua,Mexico,MEX,Definitely endangered,2234.0,20.6205,-98.1991,4.282277777777779,57.0,49.76,Low Proficiency
Mixtec of the central Ravine,Mexico,MEX,Definitely endangered,1878.0,17.9666,-96.8333,4.282277777777779,57.0,49.76,Low Proficiency
Chuj (Mexico),Mexico,MEX,Critically endangered,1771.0,16.1203,-92.0407,4.282277777777779,57.0,49.76,Low Proficiency
Eastern Cuicatec,Mexico,MEX,Vulnerable,1641.0,17.9666,-96.7166,4.282277777777779,57.0,49.76,Low Proficiency
Huehuetla Tepehua,Mexico,MEX,Definitely endangered,1603.0,20.46,-98.0761,4.282277777777779,57.0,49.76,Low Proficiency
Northern Cuicatec,Mexico,MEX,Vulnerable,1503.0,17.9511,-96.7384,4.282277777777779,57.0,49.76,Low Proficiency
Chiquihuitlán Mazatec,Mexico,MEX,Definitely endangered,1502.0,17.9953,-96.7449,4.282277777777779,57.0,49.76,Low Proficiency
Zapotec of the Valleys north,Mexico,MEX,Severely endangered,1303.0,17.0666,-96.65,4.282277777777779,57.0,49.76,Low Proficiency
Tecóatl Mazatec,Mexico,MEX,Vulnerable,1300.0,18.1653,-96.9124,4.282277777777779,57.0,49.76,Low Proficiency
Ozomatlán Totonac,Mexico,MEX,Critically endangered,1276.0,20.1766,-98.0527,4.282277777777779,57.0,49.76,Low Proficiency
Huehuetlán Mazatec,Mexico,MEX,Vulnerable,1169.0,18.1964,-96.9471,4.282277777777779,57.0,49.76,Low Proficiency
Mixtec of the southwest of Puebla,Mexico,MEX,Definitely endangered,1074.0,18.6333,-98.0666,4.282277777777779,57.0,49.76,Low Proficiency
Lowland Chontal,Mexico,MEX,Critically endangered,1060.0,16.0286,-95.6683,4.282277777777779,57.0,49.76,Low Proficiency
Western Náhuatl,Mexico,MEX,Severely endangered,1041.0,18.3745,-103.3026,4.282277777777779,57.0,49.76,Low Proficiency
Acatepec Mazatec,Mexico,MEX,Vulnerable,1038.0,18.1621,-96.8766,4.282277777777779,57.0,49.76,Low Proficiency
Mixtec of Villa de Tututepec,Mexico,MEX,Definitely endangered,1019.0,16.1333,-97.6,4.282277777777779,57.0,49.76,Low Proficiency
Santa María del Mar Huave,Mexico,MEX,Severely endangered,862.0,16.2166,-94.85,4.282277777777779,57.0,49.76,Low Proficiency
Mixtec of Santa Cruz Itundujia,Mexico,MEX,Definitely endangered,851.0,16.7666,-97.6,4.282277777777779,57.0,49.76,Low Proficiency
"Zapotec of the Southern mountains, northeast",Mexico,MEX,Definitely endangered,849.0,16.2666,-96.2833,4.282277777777779,57.0,49.76,Low Proficiency
Mixtec of Santa Inés de Zaragoza,Mexico,MEX,Definitely endangered,775.0,17.2333,-97.1666,4.282277777777779,57.0,49.76,Low Proficiency
Ocopetatillo Mazatec,Mexico,MEX,Vulnerable,757.0,18.1856,-96.9113,4.282277777777779,57.0,49.76,Low Proficiency
Mountain Guarijío,Mexico,MEX,Vulnerable,696.0,27.8758,-108.553,4.282277777777779,57.0,49.76,Low Proficiency
Matlatzinca,Mexico,MEX,Definitely endangered,651.0,19.0479,-100.2197,4.282277777777779,57.0,49.76,Low Proficiency
Central Popoloc,Mexico,MEX,Severely endangered,641.0,18.5842,-97.9295,4.282277777777779,57.0,49.76,Low Proficiency
River Guarijío,Mexico,MEX,Vulnerable,617.0,27.5196,-109.2525,4.282277777777779,57.0,49.76,Low Proficiency
Ocoyoacac Otomí,Mexico,MEX,Severely endangered,609.0,19.2716,-99.4613,4.282277777777779,57.0,49.76,Low Proficiency
Southern Tlapanec,Mexico,MEX,Severely endangered,592.0,16.7325,-98.6034,4.282277777777779,57.0,49.76,Low Proficiency
Lacandón,Mexico,MEX,Critically endangered,563.0,16.706,-91.0641,4.282277777777779,57.0,49.76,Low Proficiency
Zapotec of Zimatlán de Álvarez,Mexico,MEX,Definitely endangered,562.0,16.8666,-96.7833,4.282277777777779,57.0,49.76,Low Proficiency
Western Tlapanec,Mexico,MEX,Vulnerable,549.0,17.4101,-99.2423,4.282277777777779,57.0,49.76,Low Proficiency
Akatek (Mexico),Mexico,MEX,Vulnerable,532.0,16.7823,-93.1061,4.282277777777779,57.0,49.76,Low Proficiency
Seri,Mexico,MEX,Vulnerable,518.0,29.2333,-112.2,4.282277777777779,57.0,49.76,Low Proficiency
Western Popoloc,Mexico,MEX,Severely endangered,516.0,18.4141,-98.0176,4.282277777777779,57.0,49.76,Low Proficiency
Jakaltek (Mexico),Mexico,MEX,Severely endangered,504.0,16.3137,-93.2084,4.282277777777779,57.0,49.76,Low Proficiency
Zapotec of San Antonino el Alto,Mexico,MEX,Definitely endangered,504.0,16.8166,-97.0333,4.282277777777779,57.0,49.76,Low Proficiency
Ixtenco Otomí,Mexico,MEX,Severely endangered,461.0,19.2495,-97.8943,4.282277777777779,57.0,49.76,Low Proficiency
Chatino of Zacatepec,Mexico,MEX,Definitely endangered,453.0,16.1333,-97.35,4.282277777777779,57.0,49.76,Low Proficiency
Valle Nacional Chinantec,Mexico,MEX,Definitely endangered,442.0,17.7747,-96.3034,4.282277777777779,57.0,49.76,Low Proficiency
Tabasco Náhuatl,Mexico,MEX,Critically endangered,434.0,18.0026,-93.3722,4.282277777777779,57.0,49.76,Low Proficiency
"Zapotec of the Southern mountains, eastern lowlands",Mexico,MEX,Definitely endangered,420.0,16.2,-96.7,4.282277777777779,57.0,49.76,Low Proficiency
Western Otomí,Mexico,MEX,Severely endangered,415.0,19.4335,-100.3456,4.282277777777779,57.0,49.76,Low Proficiency
Tlahuica,Mexico,MEX,Severely endangered,405.0,18.9664,-99.4137,4.282277777777779,57.0,49.76,Low Proficiency
Mixtec of Zapotitlán,Mexico,MEX,Severely endangered,396.0,18.3333,-97.4666,4.282277777777779,57.0,49.76,Low Proficiency
Mixtec of San Pedro Tidaá,Mexico,MEX,Severely endangered,384.0,17.35,-97.3833,4.282277777777779,57.0,49.76,Low Proficiency
Northern Pame,Mexico,MEX,Definitely endangered,337.0,21.9955,-99.6458,4.282277777777779,57.0,49.76,Low Proficiency
Misantla Totonac,Mexico,MEX,Critically endangered,325.0,19.865,-96.7755,4.282277777777779,57.0,49.76,Low Proficiency
Southern Zoque,Mexico,MEX,Definitely endangered,312.0,16.7138,-93.1194,4.282277777777779,57.0,49.76,Low Proficiency
Tilapa Otomí,Mexico,MEX,Severely endangered,292.0,18.8923,-99.2986,4.282277777777779,57.0,49.76,Low Proficiency
"Zapotec of the Valleys, central",Mexico,MEX,Severely endangered,257.0,16.85,-96.6666,4.282277777777779,57.0,49.76,Low Proficiency
Texistepecan,Mexico,MEX,Severely endangered,250.0,17.8941,-94.8163,4.282277777777779,57.0,49.76,Low Proficiency
Zapotec of San Bartolo Yautepec,Mexico,MEX,Severely endangered,246.0,16.4333,-95.9666,4.282277777777779,57.0,49.76,Low Proficiency
Mixtec of San Miguel Piedras,Mexico,MEX,Severely endangered,243.0,17.0,-97.05,4.282277777777779,57.0,49.76,Low Proficiency
K'iche' (Mexico),Mexico,MEX,Definitely endangered,226.0,19.3482,-90.7177,4.282277777777779,57.0,49.76,Low Proficiency
Paipai,Mexico,MEX,Severely endangered,226.0,29.65,-115.1333,4.282277777777779,57.0,49.76,Low Proficiency
Mixtec of the northeast lowlands,Mexico,MEX,Severely endangered,220.0,17.5333,-97.35,4.282277777777779,57.0,49.76,Low Proficiency
"Zapotec of the Valleys, west",Mexico,MEX,Definitely endangered,211.0,16.2666,-96.8833,4.282277777777779,57.0,49.76,Low Proficiency
Cocopa (Mexico),Mexico,MEX,Definitely endangered,206.0,32.25,-115.25,4.282277777777779,57.0,49.76,Low Proficiency
