Country Name,Country Code,Fertility Rate Avg
Suriname,SUR,3.8316481481481484
Slovak Republic,SVK,2.0300000000000002
Slovenia,SVN,1.7687037037037034
Sweden,SWE,1.8744444444444441
Swaziland,SWZ,5.599296296296297
Sint Maarten (Dutch part),SXM,1.8183333333333331
Seychelles,SYC,2.410285714285714
Syrian Arab Republic,SYR,5.683722222222222
Chad,TCD,6.895944444444444
Togo,TGO,6.224444444444442
Thailand,THA,3.220055555555556
Tajikistan,TJK,5.239537037037036
Turkmenistan,TKM,4.487962962962963
Timor-Leste,TLS,5.806064814814816
Tonga,TON,5.146425925925924
Trinidad and Tobago,TTO,2.8589629629629627
Tunisia,TUN,4.2872407407407405
Turkey,TUR,3.8270925925925923
Tanzania,TZA,6.24087037037037
Uganda,UGA,6.905962962962963
Ukraine,UKR,1.7429074074074076
Uruguay,URY,2.547407407407408
United States,USA,2.1586018518518517
Uzbekistan,UZB,4.487203703703703
St. Vincent and the Grenadines,VCT,3.892796296296296
"Venezuela, RB",VEN,4.013462962962962
Virgin Islands (U.S.),VIR,3.3488888888888897
Vietnam,VNM,4.099074074074074
Vanuatu,VUT,5.189722222222223
West Bank and Gaza,PSE,5.2733333333333325
Samoa,WSM,5.7289814814814815
"Yemen, Rep.",YEM,7.3051666666666675
South Africa,ZAF,4.146
"Congo, Dem. Rep.",COD,6.605481481481481
Zambia,ZMB,6.668333333333333
Zimbabwe,ZWE,5.72874074074074
